wavelength,black_01,white_01,orange_01,blue_01,black_02,white_02,orange_02,blue_02,black_03,white_03,orange_03,blue_03,black_04,white_04,orange_04,blue_04
402,-0.000155174,0.142167985,0.001704339,0.035228726,0.003650439,0.188033715,0.012611835,0.007183788,0.008008564,0.200999647,0.025468292,0.012518549,0.002590408,0.186406955,0.023503793,0.007219129
406,-0.000119854,0.157433182,0.01380528,0.0340962,0.008137095,0.186874688,0.027778286,0.016832847,0.010465906,0.212626144,0.031757675,0.014890895,0.005985542,0.191390619,0.028813118,0.007454828
410,-9.5189E-05,0.166065931,0.015301014,0.037968688,0.006420034,0.174263641,0.029271558,0.018520899,0.009767676,0.211512893,0.031970318,0.015585074,0.004755753,0.178529367,0.028111879,0.007259612
414,-7.89503E-05,0.21233584,0.02863222,0.066474907,0.005632882,0.245814607,0.044176493,0.02741598,0.00726126,0.269417584,0.035267975,0.019935263,0.004681912,0.2353165,0.023216587,0.008165875
418,-7.28802E-05,0.238961622,0.034575548,0.085378282,0.005006822,0.279711336,0.050542139,0.03202042,0.00409302,0.299405396,0.035097159,0.023618598,0.003276885,0.262523025,0.019928694,0.010239688
422,0.007445586,0.278449982,0.053833693,0.090767674,0.011274861,0.303492874,0.063112371,0.03964889,0.013175035,0.331830859,0.054139789,0.034057137,0.007754313,0.276450843,0.031528633,0.014669994
426,0.015998794,0.339313209,0.075300105,0.087268375,0.016947754,0.381862789,0.085794739,0.053594537,0.021141272,0.425799668,0.079000652,0.04685897,0.014235113,0.350267977,0.052281335,0.022966318
430,0.021567037,0.367603242,0.091076292,0.090666227,0.022596069,0.361762315,0.086040512,0.053972725,0.028098449,0.406643331,0.085295193,0.051017836,0.016960636,0.336101741,0.058508065,0.026095418
434,0.031341806,0.421818674,0.108232759,0.099749632,0.035389312,0.477926165,0.107383899,0.066672087,0.043747075,0.504205227,0.100908756,0.062513098,0.034223396,0.431368917,0.075265497,0.037788156
438,0.035367418,0.450517148,0.115991928,0.103936099,0.037593361,0.489739478,0.105946086,0.065300025,0.04744,0.506227612,0.099314265,0.062453642,0.039933514,0.449880421,0.077460222,0.040709507
442,0.043041483,0.485918045,0.125108197,0.105120078,0.043797228,0.513286889,0.105061047,0.064077534,0.053561155,0.525860429,0.100265324,0.064545341,0.046544839,0.463998795,0.079543494,0.042529963
